"Tidsmerke","Kjønn","Alder","Utdanning","Er det viktig for deg å være oppdatert på det nyeste av corona-nyheter (restriksjoner, smittetall osv.)?","Hvilke kanaler bruker du for å sjekke corona-nyheter? [Helsenorge.no]","Hvilke kanaler bruker du for å sjekke corona-nyheter? [Facebook]","Hvilke kanaler bruker du for å sjekke corona-nyheter? [VG.no / Tv2.no / NRK.no]","Hvilke kanaler bruker du for å sjekke corona-nyheter? [Faktisk.no]","Hvilke kanaler bruker du for å sjekke corona-nyheter? [Resett.no / Document.no]","Hvilke kanaler bruker du for å sjekke corona-nyheter? [FHI.no]","Hvor mye tiltro har du til informasjon om coronavirus fra følgende medier [Helsenorge.no]","Hvor mye tiltro har du til informasjon om coronavirus fra følgende medier [Facebook]","Hvor mye tiltro har du til informasjon om coronavirus fra følgende medier [VG.no / Tv2.no / NRK.no]","Hvor mye tiltro har du til informasjon om coronavirus fra følgende medier [Faktisk.no]","Hvor mye tiltro har du til informasjon om coronavirus fra følgende medier [Resett.no / Document.no]","Hvor mye tiltro har du til informasjon om coronavirus fra følgende medier [FHI.no]","Hvor ofte sjekker du corona-nyheter?","Hvor enig er du i følgende utsagn? [Informasjonen kunne vært enklere forklart]","Hvor enig er du i følgende utsagn? [Informasjonen er vanskelig å finne]","Hvor enig er du i følgende utsagn? [Det er for mye informasjon]","Hvor enig er du i følgende utsagn? [Det er vanskelig å vite hvilke informasjonskilder man skal forholde seg til]","Hvilket bilde synes du er mest forklarende når det gjelder potensiell smitte","Hvilket bilde forklarer best retningslinjer for bruk av munnbind?","Hvordan foretrekker du å få informasjon om retningslinjer for eksempelvis bruk av munnbind?"
"2021/01/15 4:10:10 p.m. CET","Kvinne","18-25","Høyere Utdanning","Ja","Av og til","Av og til","Ofte","Sjelden","Aldri","Av og til","Veldig troverdig","Lite troverdig","Veldig troverdig","Litt troverdi","Ingen tiltro","Veldig troverdig","Ett par ganger om dagen","Litt enig","Litt enig","Enig","Litt enig","Bilde 1","Bilde 1","Bilde 1"
"2021/01/15 6:20:56 p.m. CET","Kvinne","41-60","Videregående Skole","Ja","Sjelden","Aldri","Ofte","Aldri","Aldri","Av og til","Veldig troverdig","Vet ikke","Veldig troverdig","Ingen tiltro","Ingen tiltro","Litt troverdi","Ett par ganger om dagen","Litt enig","Vet ikke","Litt enig","Litt enig","Bilde 1","Bilde 1","Bilde 1"
"2021/01/15 6:22:12 p.m. CET","Mann","41-60","Grunnskole","Nei","Sjelden","Aldri","Ofte","Sjelden","Sjelden","Sjelden","Litt troverdi","Vet ikke","Litt troverdi","Litt troverdi","Litt troverdi","Veldig troverdig","Når nyhetene sendes på TV","Litt enig","Litt uenig","Enig","Litt enig","Bilde 1","Bilde 2","Bilde 2"
"2021/01/16 2:23:20 p.m. CET","Mann","18-25","Høyere Utdanning","Ja","Sjelden","Sjelden","Ofte","Sjelden","Aldri","Av og til","Veldig troverdig","Vet ikke","Veldig troverdig","Veldig troverdig","Ingen tiltro","Veldig troverdig","Ett par ganger om dagen","Litt enig","Litt uenig","Litt enig","Litt enig","Bilde 1","Bilde 2","Bilde 2"
"2021/01/16 2:40:45 p.m. CET","Kvinne","26-40","Videregående Skole","Ja","Sjelden","Av og til","Ofte","Vet ikke","Aldri","Av og til","Veldig troverdig","Vet ikke","Veldig troverdig","Vet ikke","Vet ikke","Veldig troverdig","Ett par ganger i uka","Litt enig","Litt enig","Vet ikke","Litt enig","Bilde 1","Bilde 2","Bilde 2"
"2021/01/16 2:45:50 p.m. CET","Kvinne","18-25","Høyere Utdanning","Ja","Aldri","Aldri","Ofte","Aldri","Aldri","Aldri","Veldig troverdig","Lite troverdig","Veldig troverdig","Lite troverdig","Lite troverdig","Veldig troverdig","Ett par ganger om dagen","Litt enig","Litt enig","Enig","Enig","Bilde 1","Bilde 2","Bilde 2"
"2021/01/16 3:28:25 p.m. CET","Kvinne","18-25","Høyere Utdanning","Ja","Av og til","Av og til","Ofte","Av og til","Aldri","Sjelden","Veldig troverdig","Litt troverdi","Veldig troverdig","Veldig troverdig","Ingen tiltro","Veldig troverdig","Ett par ganger om dagen","Litt enig","Litt uenig","Litt enig","Litt uenig","Bilde 1","Bilde 2","Bilde 2"
"2021/01/16 5:42:17 p.m. CET","Kvinne","26-40","Høyere Utdanning","Ja","Ofte","Aldri","Ofte","Aldri","Aldri","Ofte","Veldig troverdig","Ingen tiltro","Veldig troverdig","Ingen tiltro","Ingen tiltro","Veldig troverdig","Ett par ganger om dagen","Litt enig","Uenig","Enig","Uenig","Bilde 1","Bilde 2","Bilde 2"
"2021/01/16 5:43:42 p.m. CET","Mann","41-60","Videregående Skole","Ja","Sjelden","Ofte","Ofte","Sjelden","Aldri","Sjelden","Veldig troverdig","Litt troverdi","Veldig troverdig","Veldig troverdig","Ingen tiltro","Veldig troverdig","Ett par ganger om dagen","Litt uenig","Uenig","Vet ikke","Uenig","Bilde 2","Bilde 2","Bilde 2"
"2021/01/16 6:39:51 p.m. CET","Mann","18-25","Høyere Utdanning","Ja","Aldri","Sjelden","Av og til","Aldri","Aldri","Av og til","Veldig troverdig","Lite troverdig","Veldig troverdig","Ingen tiltro","Ingen tiltro","Veldig troverdig","Sjeldnere","Litt uenig","Litt enig","Vet ikke","Litt enig","Bilde 2","Bilde 1","Bilde 1"
"2021/01/16 7:05:09 p.m. CET","Kvinne","18-25","Høyere Utdanning","Ja","Sjelden","Aldri","Ofte","Aldri","Aldri","Sjelden","Veldig troverdig","Lite troverdig","Veldig troverdig","Veldig troverdig","Vet ikke","Veldig troverdig","Ett par ganger om dagen","Enig","Litt enig","Enig","Enig","Bilde 1","Bilde 2","Bilde 2"
"2021/01/16 7:11:48 p.m. CET","Kvinne","41-60","Høyere Utdanning","Ja","Aldri","Sjelden","Ofte","Av og til","Aldri","Ofte","Veldig troverdig","Vet ikke","Veldig troverdig","Veldig troverdig","Ingen tiltro","Veldig troverdig","Ett par ganger om dagen","Litt uenig","Uenig","Litt uenig","Uenig","Bilde 2","Bilde 1","Bilde 2"
"2021/01/16 8:02:49 p.m. CET","Mann","18-25","Høyere Utdanning","Ja","Aldri","Sjelden","Ofte","Sjelden","Aldri","Av og til","Veldig troverdig","Vet ikke","Litt troverdi","Veldig troverdig","Vet ikke","Veldig troverdig","Ett par ganger om dagen","Litt enig","Litt enig","Litt enig","Litt uenig","Bilde 1","Bilde 2","Bilde 2"
"2021/01/16 8:54:23 p.m. CET","Mann","18-25","Høyere Utdanning","Ja","Av og til","Aldri","Av og til","Aldri","Aldri","Av og til","Veldig troverdig","Lite troverdig","Litt troverdi","Vet ikke","Vet ikke","Veldig troverdig","Ett par ganger i uka","Litt enig","Vet ikke","Litt uenig","Litt uenig","Bilde 1","Bilde 2","Bilde 2"
"2021/01/17 12:13:50 a.m. CET","Mann","26-40","Høyere Utdanning","Ja","Sjelden","Aldri","Ofte","Aldri","Aldri","Sjelden","Veldig troverdig","Ingen tiltro","Litt troverdi","Ingen tiltro","Ingen tiltro","Veldig troverdig","Ett par ganger i uka","Litt enig","Litt enig","Litt uenig","Enig","Bilde 1","Bilde 2","Bilde 2"
