"07459: Befolkning, etter region, alder, statistikkvariabel og år"

"region";"alder";"statistikkvariabel";"2020"
"0 Hele landet";"18 år";"Personer";63557
"0 Hele landet";"19 år";"Personer";66584
"0 Hele landet";"20 år";"Personer";66813
"0 Hele landet";"21 år";"Personer";66164
"0 Hele landet";"22 år";"Personer";67817
"0 Hele landet";"23 år";"Personer";69949
"0 Hele landet";"24 år";"Personer";70086
"0 Hele landet";"25 år";"Personer";70853
"0 Hele landet";"26 år";"Personer";72055
"0 Hele landet";"27 år";"Personer";74333
"0 Hele landet";"28 år";"Personer";76034
"0 Hele landet";"29 år";"Personer";77648
"0 Hele landet";"30 år";"Personer";77154
"0 Hele landet";"31 år";"Personer";76654
"0 Hele landet";"32 år";"Personer";74060
"0 Hele landet";"33 år";"Personer";73772
"0 Hele landet";"34 år";"Personer";72584
"0 Hele landet";"35 år";"Personer";71786
"0 Hele landet";"36 år";"Personer";71437
"0 Hele landet";"37 år";"Personer";71816
"0 Hele landet";"38 år";"Personer";70166
"0 Hele landet";"39 år";"Personer";71118
"0 Hele landet";"40 år";"Personer";70031
"0 Hele landet";"41 år";"Personer";69500
"0 Hele landet";"42 år";"Personer";67668
"0 Hele landet";"43 år";"Personer";69281
"0 Hele landet";"44 år";"Personer";71035
"0 Hele landet";"45 år";"Personer";73922
"0 Hele landet";"46 år";"Personer";74049
"0 Hele landet";"47 år";"Personer";76421
"0 Hele landet";"48 år";"Personer";76355
"0 Hele landet";"49 år";"Personer";75401
"0 Hele landet";"50 år";"Personer";76841
"0 Hele landet";"51 år";"Personer";75951
"0 Hele landet";"52 år";"Personer";73838
"0 Hele landet";"53 år";"Personer";73303
"0 Hele landet";"54 år";"Personer";71998
"0 Hele landet";"55 år";"Personer";70593
"0 Hele landet";"56 år";"Personer";67565
"0 Hele landet";"57 år";"Personer";65729
"0 Hele landet";"58 år";"Personer";64470
"0 Hele landet";"59 år";"Personer";63542
"0 Hele landet";"60 år";"Personer";63305
"0 Hele landet";"61 år";"Personer";62531
"0 Hele landet";"62 år";"Personer";60841
"0 Hele landet";"63 år";"Personer";61215
"0 Hele landet";"64 år";"Personer";59331
"0 Hele landet";"65 år";"Personer";57742
"0 Hele landet";"66 år";"Personer";56654
"0 Hele landet";"67 år";"Personer";55422
"0 Hele landet";"68 år";"Personer";52505
"0 Hele landet";"69 år";"Personer";52949
"0 Hele landet";"70 år";"Personer";52574
"0 Hele landet";"71 år";"Personer";52640
"0 Hele landet";"72 år";"Personer";53029
"0 Hele landet";"73 år";"Personer";54001
"0 Hele landet";"74 år";"Personer";47208
"0 Hele landet";"75 år";"Personer";44441
"0 Hele landet";"76 år";"Personer";38551
"0 Hele landet";"77 år";"Personer";34707
"0 Hele landet";"78 år";"Personer";29351
"0 Hele landet";"79 år";"Personer";29332
"0 Hele landet";"80 år";"Personer";27279
"0 Hele landet";"81 år";"Personer";25071
"0 Hele landet";"82 år";"Personer";22635
"0 Hele landet";"83 år";"Personer";20484
"0 Hele landet";"84 år";"Personer";18246
"0 Hele landet";"85 år";"Personer";16809
"0 Hele landet";"86 år";"Personer";15398
"0 Hele landet";"87 år";"Personer";14780
"0 Hele landet";"88 år";"Personer";13080
"0 Hele landet";"89 år";"Personer";11698
"0 Hele landet";"90 år";"Personer";9587
"0 Hele landet";"91 år";"Personer";8160
"0 Hele landet";"92 år";"Personer";6697
"0 Hele landet";"93 år";"Personer";5637
"0 Hele landet";"94 år";"Personer";4369
"0 Hele landet";"95 år";"Personer";3435
"0 Hele landet";"96 år";"Personer";2435
"0 Hele landet";"97 år";"Personer";1733
"0 Hele landet";"98 år";"Personer";1209
"0 Hele landet";"99 år";"Personer";849
"0 Hele landet";"100 år";"Personer";445
"0 Hele landet";"101 år";"Personer";270
"0 Hele landet";"102 år";"Personer";183
"0 Hele landet";"103 år";"Personer";85
"0 Hele landet";"104 år";"Personer";63
"0 Hele landet";"105 år eller eldre";"Personer";73
